S102,municipality
505,Jalapa
510,Murra
515,El Jícaro
520,San Fernando
525,Mozonte
530,Dipilto
535,Macuelizo
540,Santa María
545,Ocotal
550,Ciudad Antigua
555,Quilalí
560,Wiwilí de N.S.
599,Municipio Ignorado
1005,Wiwilí (Jinotega)
1010,El Cuá
1012,San José de Bocay
1015,Santa María de Pantasma
1020,San Rafael del Norte
1025,San Sebastián de Yalí
1030,La Concordia
1035,Jinotega
1099,Municipio Ignorado
2005,Somoto
2010,Totogalpa
2015,Telpaneca
2020,San Juan Río Coco
2025,Palacagüina
2030,Yalagüina
2035,San Lucas
2040,Las Sabanas
2045,San José de Cusmapa
2099,Municipio Ignorado
2505,Pueblo Nuevo
2510,Condega
2515,Estelí
2520,San Juan de Limay
2525,La Trinidad
2530,San Nicolás
2599,Municipio Ignorado
3005,San Pedro del Norte
3010,San Francisco del Norte
3015,Cinco Pinos
3020,Santo Tomás del Norte
3025,El Viejo
3030,Puerto Morazán
3035,Somotillo
3040,Villanueva
3045,Chinandega
3050,El Realejo
3055,Corinto
3060,Chichigalpa
3065,Posoltega
3099,Municipio Ignorado
3505,Achuapa
3510,El Sauce
3515,Santa Rosa del Peñón
3520,El Jicaral
3525,Larreynaga
3530,Telica
3535,Quezalguaque
3540,León
3545,La Paz Centro
3550,Nagarote
3599,Municipio Ignorado
4005,Rancho Grande
4010,Río Blanco
4015,Tuma-La Dalia
4020,San Isidro
4025,Sébaco
4030,Matagalpa
4035,San Ramón
4040,Matiguás
4045,Muy Muy
4050,Esquipulas
4055,San Dionisio
4060,Terrabona
4065,Ciudad Darío
4099,Municipio Ignorado
5005,San José de los Remates
5010,Boaco
5015,Camoapa
5020,Santa Lucía
5025,Teustepe
5030,San Lorenzo
5099,Municipio Ignorado
5505,San Francisco Libre
5510,Tipitapa
5515,Mateare
5520,Villa El Carmen
5522,Ciudad Sandino
5525,Managua
5530,Ticuantepe
5532,El Crucero
5535,San Rafael del Sur
5599,Municipio Ignorado
6005,Nindirí
6010,Masaya
6015,Tisma
6020,La Concepción
6025,Masatepe
6030,Nandasmo
6035,Catarina
6040,San Juan de Oriente
6045,Niquinohomo
6099,Municipio Ignorado
6505,Comalapa
6507,San Francisco de Cuapa
6510,Juigalpa
6515,La Libertad
6520,Santo Domingo
6525,Santo Tomás
6530,San Pedro de Lóvago
6535,Acoyapa
6540,Villa Sandino
6545,El Coral
6599,Municipio Ignorado
7005,Diriá
7010,Diriomo
7015,Granada
7020,Nandaime
7099,Municipio Ignorado
7505,San Marcos
7510,Jinotepe
7515,Dolores
7520,Diriamba
7525,El Rosario
7530,La Paz de Carazo
7535,Santa Teresa
7540,La Conquista
7599,Municipio Ignorado
8005,Tola
8010,Belén
8015,Potosí
8020,Buenos Aires
8025,Moyogalpa
8030,Altagracia
8035,San Jorge
8040,Rivas
8045,San Juan del Sur
8050,Cárdenas
8099,Municipio Ignorado
8505,Morrito
8510,El Almendro
8515,San Miguelito
8520,San Carlos
8525,El Castillo
8530,San Juan del Norte
8599,Municipio Ignorado
9105,Waspán
9110,Puerto Cabezas
9115,Rosita
9120,Bonanza
9125,Waslala
9127,Mulukukú
9130,Siuna
9135,Prinzapolka
9199,Municipio Ignorado
9305,Paiwas
9310,La Cruz de Río Grande
9312,Desembocadura de Río Grande
9315,Laguna de Perlas
9316,El Tortuguero
9320,El Rama
9323,El Ayote
9325,Muelle de los Bueyes
9330,Kukrahill
9335,Corn Island
9340,Bluefields
9345,Nueva Guinea
9399,Municipio Ignorado
